uid,client_name,client_ip,sender_ip,client_timestamp,client_lat,client_long,event_type
59859,pidrive,0.0.0.0,192.168.1.23,1402843586,40.637321,-89.475732,3
58886,pidrive,192.168.1.65,,1402843587,40.637238,-89.475721,4
59860,pidrive,,,1402843587,40.637238,-89.475721,0
59861,pidrive,0.0.0.0,192.168.1.23,1402843587,40.637238,-89.475721,1
59862,pidrive,0.0.0.0,192.168.1.23,1402843587,40.637238,-89.475721,2
59863,pidrive,0.0.0.0,192.168.1.23,1402843587,40.637238,-89.475721,3
59864,pidrive,,,1402843588,40.637155,-89.475721,0
59865,pidrive,0.0.0.0,192.168.1.23,1402843588,40.637155,-89.475721,1
59866,pidrive,0.0.0.0,192.168.1.23,1402843588,40.637155,-89.475721,2
59867,pidrive,0.0.0.0,192.168.1.23,1402843588,40.637155,-89.475721,3
58887,pidrive,192.168.1.65,,1402843589,40.637079,-89.475722,4
59868,pidrive,,,1402843589,40.637079,-89.475722,0
59869,pidrive,0.0.0.0,192.168.1.23,1402843589,40.637079,-89.475722,1
59870,pidrive,0.0.0.0,192.168.1.23,1402843589,40.637079,-89.475722,2
59871,pidrive,0.0.0.0,192.168.1.23,1402843589,40.637079,-89.475722,3
59872,pidrive,,,1402843590,40.636996,-89.475723,0
58888,pidrive,192.168.1.65,,1402843591,40.636919,-89.475723,4
59873,pidrive,0.0.0.0,192.168.1.23,1402843591,40.636919,-89.475723,1
59874,pidrive,0.0.0.0,192.168.1.23,1402843591,40.636919,-89.475723,2
59875,pidrive,0.0.0.0,192.168.1.23,1402843591,40.636919,-89.475723,3
59876,pidrive,,,1402843591,40.636919,-89.475723,0
58889,pidrive,192.168.1.65,,1402843592,40.636842,-89.475724,4
59878,pidrive,0.0.0.0,192.168.1.23,1402843592,40.636842,-89.475724,1
59879,pidrive,0.0.0.0,192.168.1.23,1402843592,40.636842,-89.475724,2
59880,pidrive,0.0.0.0,192.168.1.23,1402843592,40.636842,-89.475724,3
59881,pidrive,,,1402843592,40.636842,-89.475724,0
59882,pidrive,0.0.0.0,192.168.1.23,1402843592,40.636842,-89.475724,1
59883,pidrive,0.0.0.0,192.168.1.23,1402843592,40.636842,-89.475724,2
59884,pidrive,0.0.0.0,192.168.1.23,1402843592,40.636842,-89.475724,3
59885,pidrive,,,1402843593,40.636766,-89.475713,0
58890,pidrive,192.168.1.65,,1402843594,40.636683,-89.475713,4
59886,pidrive,0.0.0.0,192.168.1.23,1402843594,40.636683,-89.475713,1
59887,pidrive,0.0.0.0,192.168.1.23,1402843594,40.636683,-89.475713,2
59888,pidrive,0.0.0.0,192.168.1.23,1402843594,40.636683,-89.475713,3
59889,pidrive,,,1402843594,40.636683,-89.475713,0
58891,pidrive,192.168.1.65,,1402843595,40.636607,-89.475714,4
59890,pidrive,,,1402843595,40.636607,-89.475714,0
59891,pidrive,0.0.0.0,192.168.1.23,1402843595,40.636607,-89.475714,1
59892,pidrive,0.0.0.0,192.168.1.23,1402843595,40.636607,-89.475714,2
59893,pidrive,0.0.0.0,192.168.1.23,1402843595,40.636607,-89.475714,3
58892,pidrive,192.168.1.65,,1402843596,40.636530,-89.475726,4
59894,pidrive,,,1402843596,40.636530,-89.475726,0
59895,pidrive,0.0.0.0,192.168.1.23,1402843596,40.636530,-89.475726,1
59896,pidrive,0.0.0.0,192.168.1.23,1402843596,40.636530,-89.475726,2
59897,pidrive,0.0.0.0,192.168.1.23,1402843596,40.636530,-89.475726,3
59898,pidrive,,,1402843597,40.636453,-89.475727,0
59899,pidrive,0.0.0.0,192.168.1.23,1402843597,40.636453,-89.475727,1
59900,pidrive,0.0.0.0,192.168.1.23,1402843597,40.636453,-89.475727,2
59901,pidrive,0.0.0.0,192.168.1.23,1402843597,40.636453,-89.475727,3
59902,pidrive,,,1402843598,40.636376,-89.475727,0
